epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6225,0.98931,4.61961,0.9581,0.02585,0.20212,0.05384,0.04528,0.64453,3.95205,0.83634,5.65689e-05,5.65689e-05,5.65689e-05
2,33.5373,0.65914,2.59639,0.86859,0.82438,0.19202,0.23775,0.21275,0.48427,1.63456,0.81208,0.000111647,0.000111647,0.000111647
3,49.5953,0.51262,1.26688,0.84221,0.5029,0.40702,0.39243,0.35635,0.40825,0.78033,0.79281,0.000164455,0.000164455,0.000164455
4,65.6022,0.44101,0.90657,0.82748,0.6014,0.67972,0.65115,0.60378,0.31743,0.58922,0.77381,0.000161783,0.000161783,0.000161783
5,81.6596,0.40421,0.77014,0.82223,0.76842,0.82123,0.84285,0.79347,0.28715,0.4968,0.76877,0.000158378,0.000158378,0.000158378
6,97.6275,0.38414,0.68559,0.81679,0.81956,0.89283,0.91402,0.83846,0.35458,0.43327,0.78069,0.000154972,0.000154972,0.000154972
7,113.602,0.37871,0.63875,0.81327,0.89253,0.93529,0.94664,0.89891,0.2768,0.37019,0.76754,0.000151566,0.000151566,0.000151566
8,129.612,0.36329,0.58664,0.8106,0.92168,0.94722,0.95817,0.91825,0.25544,0.36818,0.76581,0.000148161,0.000148161,0.000148161
9,145.626,0.3524,0.55971,0.80992,0.951,0.94985,0.97157,0.92807,0.26391,0.33117,0.76531,0.000144755,0.000144755,0.000144755
10,161.602,0.33978,0.5272,0.80735,0.96265,0.96498,0.97456,0.93701,0.25333,0.31169,0.76542,0.00014135,0.00014135,0.00014135
11,177.533,0.333,0.50766,0.80595,0.94563,0.9766,0.97566,0.94222,0.23903,0.29868,0.76218,0.000137944,0.000137944,0.000137944
12,193.475,0.32841,0.49122,0.80488,0.9578,0.98048,0.97831,0.94705,0.24331,0.28691,0.76247,0.000134538,0.000134538,0.000134538
13,209.474,0.32541,0.47785,0.80476,0.95293,0.9784,0.97676,0.94574,0.23747,0.27664,0.76197,0.000131133,0.000131133,0.000131133
14,225.407,0.31901,0.46718,0.80434,0.95303,0.98587,0.97681,0.93951,0.26458,0.27251,0.76719,0.000127727,0.000127727,0.000127727
15,241.317,0.31303,0.45449,0.80365,0.95107,0.98543,0.97715,0.95227,0.24024,0.25895,0.76113,0.000124322,0.000124322,0.000124322
16,257.308,0.31105,0.44423,0.80389,0.95617,0.98434,0.97955,0.95184,0.23088,0.25702,0.76036,0.000120916,0.000120916,0.000120916
17,273.229,0.30722,0.44022,0.80127,0.95485,0.98786,0.97838,0.95752,0.21441,0.25569,0.75893,0.00011751,0.00011751,0.00011751
18,289.152,0.30454,0.43563,0.79973,0.95402,0.98813,0.97704,0.95864,0.21663,0.25417,0.75861,0.000114105,0.000114105,0.000114105
19,305.114,0.29884,0.42323,0.79947,0.96361,0.97751,0.97878,0.9495,0.23783,0.24946,0.76106,0.000110699,0.000110699,0.000110699
20,321.056,0.29185,0.41153,0.79932,0.95963,0.98512,0.97859,0.95994,0.21389,0.24,0.75856,0.000107294,0.000107294,0.000107294
21,337.084,0.2894,0.40456,0.79785,0.95857,0.98479,0.97902,0.95818,0.215,0.2377,0.75809,0.000103888,0.000103888,0.000103888
22,353.043,0.2885,0.40157,0.79802,0.97507,0.97357,0.97871,0.96097,0.21205,0.23301,0.75792,0.000100482,0.000100482,0.000100482
23,369.053,0.28637,0.4016,0.79744,0.95929,0.98768,0.979,0.9621,0.20788,0.22693,0.75722,9.70768e-05,9.70768e-05,9.70768e-05
24,385.032,0.27788,0.38901,0.79644,0.95742,0.99213,0.98124,0.96427,0.20301,0.2219,0.75614,9.36712e-05,9.36712e-05,9.36712e-05
25,400.991,0.28229,0.38943,0.79712,0.95957,0.98624,0.98226,0.96776,0.20741,0.22773,0.75697,9.02656e-05,9.02656e-05,9.02656e-05
26,417.001,0.27935,0.38148,0.79692,0.95838,0.99003,0.9827,0.96774,0.19935,0.22006,0.75591,8.686e-05,8.686e-05,8.686e-05
27,432.953,0.27487,0.37886,0.79566,0.96734,0.98555,0.98275,0.96767,0.19819,0.21498,0.75602,8.34544e-05,8.34544e-05,8.34544e-05
28,448.889,0.27167,0.37521,0.79633,0.97231,0.98791,0.98865,0.97189,0.20318,0.22291,0.75666,8.00488e-05,8.00488e-05,8.00488e-05
29,464.872,0.27027,0.37627,0.79621,0.97204,0.99279,0.99132,0.97608,0.2006,0.21181,0.75626,7.66432e-05,7.66432e-05,7.66432e-05
30,480.893,0.26916,0.36879,0.79531,0.98318,0.98939,0.99073,0.97473,0.199,0.20811,0.75592,7.32376e-05,7.32376e-05,7.32376e-05
31,496.81,0.2701,0.36416,0.79456,0.9744,0.99522,0.99272,0.97855,0.19243,0.20498,0.75527,6.9832e-05,6.9832e-05,6.9832e-05
32,512.777,0.26555,0.35962,0.79404,0.98384,0.98652,0.99225,0.97751,0.19572,0.20425,0.75533,6.64264e-05,6.64264e-05,6.64264e-05
33,528.668,0.26503,0.35747,0.79369,0.98741,0.98535,0.99246,0.98066,0.19241,0.20988,0.75511,6.30208e-05,6.30208e-05,6.30208e-05
34,544.615,0.25914,0.35023,0.79379,0.98402,0.99553,0.99322,0.97895,0.19683,0.20158,0.75558,5.96152e-05,5.96152e-05,5.96152e-05
35,560.522,0.25802,0.34529,0.79259,0.98634,0.98869,0.99308,0.98196,0.18801,0.19545,0.75426,5.62096e-05,5.62096e-05,5.62096e-05
36,576.498,0.25676,0.34447,0.79226,0.99022,0.99344,0.99341,0.97898,0.19732,0.19858,0.75567,5.2804e-05,5.2804e-05,5.2804e-05
37,592.413,0.25893,0.35051,0.7925,0.98828,0.9941,0.99312,0.98276,0.18627,0.1939,0.75424,4.93984e-05,4.93984e-05,4.93984e-05
38,608.403,0.25383,0.34128,0.79196,0.98889,0.99501,0.99309,0.9812,0.18677,0.19219,0.75413,4.59928e-05,4.59928e-05,4.59928e-05
39,624.297,0.25053,0.33461,0.79147,0.98938,0.99405,0.99304,0.98103,0.18615,0.19289,0.75453,4.25872e-05,4.25872e-05,4.25872e-05
40,640.208,0.25158,0.33716,0.79259,0.99226,0.99217,0.993,0.98199,0.18679,0.18917,0.75401,3.91816e-05,3.91816e-05,3.91816e-05
41,657.233,0.24567,0.34118,0.7809,0.9942,0.99005,0.99295,0.97981,0.19615,0.2017,0.75322,3.5776e-05,3.5776e-05,3.5776e-05
42,672.718,0.23111,0.31133,0.77871,0.99365,0.99445,0.99329,0.98043,0.19228,0.19366,0.75298,3.23704e-05,3.23704e-05,3.23704e-05
