epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5024,0.69586,4.56967,0.88397,0.04353,0.16088,0.08201,0.07594,0.40618,3.97676,0.83768,5.65258e-05,5.65258e-05,5.65258e-05
2,31.7554,0.39466,2.25883,0.81795,0.69537,0.23628,0.2886,0.27756,0.24857,1.25253,0.76662,0.000111605,0.000111605,0.000111605
3,47.1685,0.26995,0.95812,0.80045,0.57666,0.60123,0.54809,0.53488,0.17963,0.65255,0.73776,0.000164413,0.000164413,0.000164413
4,62.5833,0.23096,0.67725,0.79222,0.73986,0.83284,0.87041,0.85524,0.12939,0.4336,0.7298,0.000161783,0.000161783,0.000161783
5,78.0064,0.1992,0.55676,0.79128,0.87877,0.93446,0.94249,0.92425,0.16171,0.39083,0.73424,0.000158378,0.000158378,0.000158378
6,93.354,0.19004,0.47662,0.78812,0.94638,0.97432,0.97237,0.96671,0.12802,0.30931,0.73762,0.000154972,0.000154972,0.000154972
7,108.639,0.17934,0.42317,0.78297,0.93288,0.98423,0.97375,0.97125,0.11689,0.26146,0.73609,0.000151566,0.000151566,0.000151566
8,124.059,0.17126,0.39969,0.78418,0.95726,0.97806,0.98004,0.97885,0.10767,0.2358,0.73722,0.000148161,0.000148161,0.000148161
9,139.358,0.1622,0.37241,0.78345,0.94543,0.99372,0.9799,0.97864,0.1226,0.24417,0.73858,0.000144755,0.000144755,0.000144755
10,154.625,0.15805,0.35507,0.78301,0.96278,0.98816,0.98368,0.9833,0.10417,0.21655,0.7366,0.00014135,0.00014135,0.00014135
11,169.942,0.15388,0.3394,0.7828,0.94954,0.99137,0.98296,0.98273,0.11281,0.22269,0.73659,0.000137944,0.000137944,0.000137944
12,185.186,0.14837,0.32925,0.77971,0.96223,0.99199,0.98451,0.98416,0.09776,0.20413,0.73464,0.000134538,0.000134538,0.000134538
13,200.554,0.14491,0.31684,0.78073,0.9689,0.99072,0.98943,0.98887,0.1079,0.20542,0.73658,0.000131133,0.000131133,0.000131133
14,215.86,0.14099,0.3066,0.78058,0.9757,0.99493,0.99281,0.99281,0.08874,0.19358,0.73388,0.000127727,0.000127727,0.000127727
15,231.156,0.13862,0.29778,0.77937,0.98426,0.99531,0.9942,0.99412,0.08562,0.18313,0.73452,0.000124322,0.000124322,0.000124322
16,246.423,0.13404,0.28811,0.77916,0.99092,0.99761,0.995,0.995,0.08436,0.17596,0.73271,0.000120916,0.000120916,0.000120916
17,261.907,0.13324,0.28274,0.78034,0.99305,0.99415,0.995,0.99477,0.09302,0.18249,0.7338,0.00011751,0.00011751,0.00011751
18,277.23,0.13048,0.2761,0.77847,0.99658,0.99884,0.995,0.995,0.09171,0.16954,0.73372,0.000114105,0.000114105,0.000114105
19,292.915,0.1291,0.26906,0.77835,0.99593,0.99924,0.995,0.995,0.0919,0.16688,0.73348,0.000110699,0.000110699,0.000110699
20,308.974,0.12703,0.26245,0.77703,0.99471,0.99693,0.995,0.995,0.08124,0.16629,0.73052,0.000107294,0.000107294,0.000107294
21,324.688,0.12558,0.25687,0.77778,0.99224,0.99451,0.995,0.995,0.09186,0.16742,0.73323,0.000103888,0.000103888,0.000103888
22,340.23,0.12287,0.25135,0.77809,0.99656,1,0.995,0.995,0.10146,0.16309,0.73249,0.000100482,0.000100482,0.000100482
23,355.875,0.12146,0.25034,0.77717,0.99723,0.99917,0.995,0.995,0.08495,0.15698,0.73198,9.70768e-05,9.70768e-05,9.70768e-05
24,371.312,0.11977,0.24744,0.77596,0.99665,1,0.995,0.995,0.08947,0.15694,0.73168,9.36712e-05,9.36712e-05,9.36712e-05
25,386.986,0.11967,0.24514,0.77831,0.99662,0.99952,0.995,0.995,0.08119,0.15099,0.72972,9.02656e-05,9.02656e-05,9.02656e-05
26,402.634,0.11643,0.23789,0.77611,0.99707,0.99995,0.995,0.995,0.07316,0.14415,0.73144,8.686e-05,8.686e-05,8.686e-05
27,418.553,0.11494,0.23541,0.77658,0.99455,0.99529,0.995,0.995,0.09212,0.15747,0.73132,8.34544e-05,8.34544e-05,8.34544e-05
28,434.287,0.11411,0.2333,0.77743,0.99639,0.99828,0.995,0.995,0.0767,0.14643,0.73048,8.00488e-05,8.00488e-05,8.00488e-05
29,449.692,0.1141,0.23257,0.77748,0.99676,1,0.995,0.995,0.07899,0.14825,0.73136,7.66432e-05,7.66432e-05,7.66432e-05
30,465.232,0.11066,0.22652,0.7757,0.99731,1,0.995,0.995,0.06921,0.14162,0.7309,7.32376e-05,7.32376e-05,7.32376e-05
31,480.992,0.11125,0.22683,0.77797,0.99754,1,0.995,0.995,0.06869,0.13721,0.72916,6.9832e-05,6.9832e-05,6.9832e-05
32,496.428,0.10963,0.22352,0.77693,0.99731,1,0.995,0.995,0.07239,0.14159,0.72874,6.64264e-05,6.64264e-05,6.64264e-05
33,511.845,0.10844,0.21905,0.77643,0.99735,1,0.995,0.995,0.07814,0.14172,0.73131,6.30208e-05,6.30208e-05,6.30208e-05
34,527.269,0.10688,0.21654,0.77356,0.99752,1,0.995,0.995,0.07939,0.13927,0.73012,5.96152e-05,5.96152e-05,5.96152e-05
35,542.618,0.10647,0.21544,0.77526,0.99736,1,0.995,0.995,0.07329,0.1401,0.7303,5.62096e-05,5.62096e-05,5.62096e-05
36,557.982,0.10415,0.21111,0.77503,0.99721,1,0.995,0.995,0.07884,0.14015,0.73009,5.2804e-05,5.2804e-05,5.2804e-05
37,573.384,0.10437,0.21015,0.77543,0.99738,1,0.995,0.995,0.07261,0.1337,0.73004,4.93984e-05,4.93984e-05,4.93984e-05
38,588.816,0.10318,0.20634,0.77364,0.99742,1,0.995,0.995,0.07325,0.13297,0.73024,4.59928e-05,4.59928e-05,4.59928e-05
39,604.206,0.1018,0.20633,0.77544,0.99748,1,0.995,0.995,0.06998,0.13114,0.7303,4.25872e-05,4.25872e-05,4.25872e-05
40,619.599,0.10088,0.20297,0.77455,0.9974,1,0.995,0.995,0.07312,0.13164,0.72973,3.91816e-05,3.91816e-05,3.91816e-05
41,636.262,0.09984,0.19457,0.76001,0.99701,1,0.995,0.995,0.08613,0.13955,0.72696,3.5776e-05,3.5776e-05,3.5776e-05
42,651.444,0.08526,0.1692,0.76103,0.99714,1,0.995,0.995,0.08951,0.1338,0.72745,3.23704e-05,3.23704e-05,3.23704e-05
43,666.591,0.08192,0.16331,0.76219,0.99756,1,0.995,0.995,0.08393,0.12771,0.7281,2.89648e-05,2.89648e-05,2.89648e-05
44,681.807,0.08097,0.16103,0.75968,0.99737,1,0.995,0.995,0.08374,0.1297,0.72973,2.55592e-05,2.55592e-05,2.55592e-05
45,697.021,0.07895,0.1577,0.76017,0.99759,1,0.995,0.995,0.08564,0.12763,0.72971,2.21536e-05,2.21536e-05,2.21536e-05
46,712.226,0.07697,0.15401,0.76019,0.99756,1,0.995,0.995,0.08482,0.12682,0.72993,1.8748e-05,1.8748e-05,1.8748e-05
47,727.399,0.07506,0.15185,0.75966,0.9976,1,0.995,0.995,0.08201,0.12364,0.72894,1.53424e-05,1.53424e-05,1.53424e-05
48,742.565,0.07521,0.15068,0.76077,0.99762,1,0.995,0.995,0.07948,0.12317,0.72892,1.19368e-05,1.19368e-05,1.19368e-05
49,757.746,0.07521,0.15088,0.76354,0.99745,1,0.995,0.995,0.07798,0.12315,0.72893,8.5312e-06,8.5312e-06,8.5312e-06
50,772.992,0.07296,0.14821,0.76143,0.99749,1,0.995,0.995,0.07846,0.12111,0.72852,5.1256e-06,5.1256e-06,5.1256e-06
