epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,617.623,0.23086,0.27331,0.77697,0.99491,0.99684,0.995,0.98158,0.19344,0.19692,0.75272,3.5776e-05,3.5776e-05,3.5776e-05
42,632.28,0.21742,0.24517,0.77476,0.99429,0.99651,0.995,0.98322,0.19299,0.18935,0.75309,3.23704e-05,3.23704e-05,3.23704e-05
43,647.025,0.21281,0.24065,0.77455,0.99526,0.99729,0.995,0.98451,0.19019,0.1864,0.75289,2.89648e-05,2.89648e-05,2.89648e-05
44,661.609,0.20736,0.23551,0.77244,0.99624,0.99605,0.99498,0.98457,0.18865,0.18316,0.75272,2.55592e-05,2.55592e-05,2.55592e-05
45,676.167,0.20616,0.23282,0.77343,0.99456,0.99751,0.99495,0.98329,0.18723,0.18137,0.75276,2.21536e-05,2.21536e-05,2.21536e-05
46,690.836,0.20541,0.22928,0.77249,0.99467,0.99675,0.99495,0.98548,0.18663,0.18037,0.75284,1.8748e-05,1.8748e-05,1.8748e-05
47,705.47,0.20125,0.22612,0.77204,0.99523,0.99714,0.99497,0.98486,0.18384,0.17828,0.75246,1.53424e-05,1.53424e-05,1.53424e-05
48,720.098,0.20049,0.22569,0.77435,0.99431,0.99834,0.99496,0.98604,0.18305,0.17716,0.75272,1.19368e-05,1.19368e-05,1.19368e-05
49,734.698,0.19894,0.22577,0.77416,0.99483,0.99899,0.99499,0.98589,0.18153,0.17619,0.75221,8.5312e-06,8.5312e-06,8.5312e-06
50,749.393,0.19755,0.22303,0.77095,0.99501,0.99851,0.99498,0.98607,0.18126,0.17504,0.75229,5.1256e-06,5.1256e-06,5.1256e-06
